ENTITYID,ADDRESSSTATECODE,POSTALCODE
459,NC,27559
460,VA,24055
461,NC,28697
462,NC,28456
463,AZ,85357
464,CA,91706
465,CA,90053
466,CA,92621
467,CA,92631
468,CA,91720
469,CA,90640
470,CA,91406
471,CA,91331
473,CA,95963
474,CA,95977
475,CA,96161
476,CA,95252
477,CA,95361
478,CA,93657
479,CA,93244
480,CA,93653
481,CA,93653
482,CA,95441
483,CA,95482
485,NM,87041
486,NM,88416
487,NM,87041
488,NM,87041
489,NM,88435
490,CO,81082
491,NM,88435
492,TX,75119
493,TX,76513
494,TX,76132
495,TX,78133
496,TX,75482
497,TX,75657
498,TX,76051
499,TX,76834
500,TX,75249
501,TX,75098
502,TX,75057
503,TX,76679
504,TX,76442
505,TX,75951
506,TX,76834
507,TX,77879
508,TX,76513
509,TX,75501
510,TX,76708
511,TX,76634
512,TX,76634
513,TX,75067
514,TX,75979
515,TX,76530
516,TX,78628
517,TX,77218
518,TX,77597
520,AR,71611
521,AR,72166
522,AR,71611
523,AR,71611
524,AR,71611
525,AR,71611
526,AR,72032
527,AR,72032
528,AR,72033
529,AR,72949
530,AR,72756
531,AR,72842
532,MO,63957
533,AR,72802
534,AR,71832
535,AR,71833
536,AR,71832
537,AR,72543
538,AR,71822
539,AR,72857
540,AR,72653
541,AR,72949
543,AR,72653
544,OK,74434
545,OK,74434
546,KS,67335
547,OK,74070
548,OK,74764
549,OK,73724
551,KS,66846
552,KS,67042
553,KS,67335
554,OK,74462
555,KS,67047
556,OK,74434
557,OK,73841
558,OK,73749
559,OK,74039
560,OK,74756
561,OK,74022
562,KS,66839
563,OK,74604
564,OK,74063
565,KS,66861
566,OK,74053
567,OK,73841
568,TX,75473
569,OK,74764
570,OK,74955
571,OK,74435
572,KS,67047
573,OK,73573
574,OK,74435
575,OK,74966
576,OK,74435
577,OK,74536
578,TX,75020
579,OK,73007
580,TX,79227
581,OK,74070
583,AK,99507
584,AK,99507
589,AK,99709
590,CO,81044
591,AZ,86401
595,AZ,85615
596,AZ,85636
597,AZ,86403
599,AK,99588
601,AK,99709
602,AZ,85365
603,AZ,86403
604,HI,96815
607,CA,93514
607,CA,93546
609,CA,95762
610,CA,95762
612,CA,95762
613,CA,95762
615,CA,93602
615,CA,93308
618,CA,93555
619,CA,93555
620,AZ,85546
621,AZ,86401
624,MT,59725
627,CO,81506
701,UT,84606
708,CO,81641
977,UT,84340
978,WY,82644
979,CA,96002
980,CA,95632
980,CA,95632
981,AK,99709
1001,CO,81323
1001,UT,84532
1020,CO,81521
1041,NV,89301
1124,ND,58575
1125,ND,58301
1126,ND,58601
1127,ND,58501
1128,ND,58401
1129,OK,73655
1130,OK,73086
1131,OK,73647
1132,OK,73005
1133,OK,73026
1134,OK,74525
1135,OK,73559
1136,CA,93514
1137,OR,97502
1138,OR,97918
1139,OR,97918
1140,OR,97477
1141,WA,99323
1142,OR,97702
1143,OR,97702
1144,OR,97502
1145,OR,97702
1146,OR,97124
1148,OR,97504
1149,WA,99212
1150,SD,57717
1152,WA,99323
1153,OR,97754
1154,OR,97301
1155,OR,97814
1156,OR,97301
1158,OR,97301
1159,ID,83702
1160,OR,97702
1161,SD,57747
1162,OR,97504
1163,CO,81212
1164,SD,57754
1165,SD,57745
1166,SD,57350
1167,SD,57702
1168,SD,57638
1169,TX,78007
1170,TX,77957
1171,TX,79602
1173,CA,92256
1175,CA,92262
1178,UT,84049
1181,CA,92311
1185,UT,84050
1186,UT,84017
1188,UT,84319
1190,UT,84032
1191,UT,84606
1193,UT,84606
1195,UT,84078
1196,UT,84061
1197,CA,92311
1198,NV,89406
1200,UT,84528
1201,UT,84021
1203,UT,84078
1206,WA,98837
1207,WA,98837
1211,WA,98922
1213,WA,98504
1214,WA,98823
1215,WA,98504
1216,WA,99116
1220,UT,84078
1221,WA,98801
1222,WA,98837
1223,WA,98837
1224,WA,98937
1225,WA,98907
1226,WA,99326
1227,WA,98823
1228,WY,82644
1229,UT,84606
1230,WY,82649
1231,WY,82414
1232,WY,82644
1233,WY,82213
1234,ID,83401
1235,CA,95482
1237,CA,92311
1237,CA,92307
1238,WY,82644
1239,WY,82214
1241,WY,82721
1242,WY,82644
1243,WY,82644
1245,WY,82644
1246,WY,82644
1247,WY,82523
1248,WY,82644
1250,ID,83401
1251,CA,94965
1252,CA,92635
1254,UT,84532
1254,UT,84532
1255,SC,29449
1256,MN,56737
1257,CO,81101
1258,AK,99603
1259,AK,99613
1260,NC,27954
1261,NY,11930
1262,TX,77514
1263,OR,97721
1264,TX,77950
1265,LA,70577
1266,LA,70079
1267,LA,70753
1268,CA,95482
1272,CO,80480
1273,FL,32963
1274,AK,99701
1276,ND,58476
1277,ND,58476
1278,FL,33437
1279,NV,89020
1280,LA,70445
1281,TX,77434
1282,ND,58531
1284,VA,23456
1284,VA,23456
1285,TX,78654
1286,AR,72010
1287,OR,97411
1288,GA,31637
1289,OR,97338
1290,LA,71373
1291,LA,70445
1292,ID,83254
1295,AK,99613
1296,MT,59404
1297,MT,59404
1298,TX,77422
1299,LA,70445
1300,AR,72442
1301,MO,65201
1302,MN,56276
1303,MN,56276
1305,NM,88201
1306,LA,71203
1308,GA,31405
1309,MD,21613
1310,RI,2813
1312,LA,70445
1313,DE,19977
1314,AL,36542
1315,NM,87832
1316,MT,59538
1317,MT,59538
1318,TX,77541
1319,LA,70445
1320,CO,81640
1321,VI,820
1322,AZ,85633
1324,AZ,85321
1325,PR,622
1326,AR,72006
1327,FL,33957
1328,ID,83425
1329,LA,70630
1331,WV,26260
1332,NJ,8210
1333,OR,97365
1334,SC,29429
1335,ME,4841
1336,SC,29101
1337,LA,71343
1338,NC,27885
1339,FL,32626
1340,OH,43449
1341,MT,59457
1343,ND,58496
1344,ND,58496
1345,FL,34429
1346,IL,62644
1347,TN,38063
1348,VA,23336
1349,AL,36545
1350,AZ,85328
1351,MO,63330
1352,CA,96134
1353,CA,92233
1354,WA,99323
1355,WA,99344
1356,CA,95988
1357,WA,98619
1358,IL,62959
1359,MN,56345
1361,NE,69340
1363,TN,37058
1364,ME,4658
1365,FL,34429
1366,PR,622
1367,NC,27950
1368,IL,62992
1369,LA,71241
1370,MS,38730
1371,OK,74447
1372,ID,83686
1373,CA,95988
1374,LA,70445
1375,ND,58746
1376,NV,89124
1377,MN,56501
1378,IA,51555
1379,ND,58301
1380,CA,94560
1381,IA,52157
1384,MD,21661
1385,VA,23310
1386,NJ,8231
1387,FL,34429
1389,IL,62644
1390,PA,16327
1391,AL,36027
1392,NV,89406
1393,AR,71635
1394,MN,56537
1395,AL,35609
1396,UT,84302
1397,KS,66854
1398,NE,69201
1399,WI,53050
1400,MS,39562
1401,LA,71351
1402,CA,93635
1403,WA,98516
