ENTITYID,ADDRESSSTATECODE,POSTALCODE
2815,ME,4756
2817,VT,5091
2818,KY,42259
2820,VA,20109
2820,VA,20109
2821,CA,93526
2821,CA,93526
2822,NY,12106
2823,VA,23219
2823,VA,23223
2824,CO,81330
2824,CO,81330
2825,MA,1742
2825,MA,1742
2826,SD,57567
2827,MN,55101
2827,MN,55101
2828,SD,57078
2829,AZ,86322
2829,AZ,86322
2830,NC,28435
2831,CA,92311
2832,MD,21704
2832,MD,21704
2834,NM,87505
2835,WA,98304
2836,NJ,7960
2837,SD,57751
2838,LA,70130
2838,LA,70130
2839,ID,83540
2840,WV,25846
2840,WV,25846
2841,KS,67625
2842,NE,69201
2843,SC,29666
2844,AK,99752
2844,AK,99752
2845,WA,98284
2846,MI,49331
2846,MI,49331
2847,AS,96799
2848,SC,29341
2848,SC,39341
2850,MO,63965
2850,MO,63965
2851,TX,78526
2851,TX,78520
2852,DC,20002
2852,DC,20024
2853,TX,78418
2853,TX,78480
2854,UT,84790
2855,NM,87552
2855,NM,87552
2856,AZ,86028
2856,AZ,86028
2857,MD,20607
2857,MD,20616
2858,AZ,86022
2858,AZ,86022
2860,NM,87505
2860,NM,87504
2862,WV,25425
2862,WV,25425
2863,LA,71266
2864,CA,94956
2865,CA,94129
2865,CA,94123
2866,CA,94941
2867,UT,84533
2867,UT,84533
2869,DC,20020
2870,DC,20024
2871,MS,39120
2871,MS,39120
2872,MS,38804
2873,AZ,86054
2873,AZ,86045
2874,MA,2740
2877,TN,37887
2878,GA,31217
2879,OK,73102
2879,OK,73101
2881,WA,98362
2881,WA,98362
2883,OR,97523
2885,AZ,85321
2886,AR,72732
2887,VA,23803
2887,VA,23803
2888,NM,87120
2888,NM,87120
2889,OH,43456
2889,OH,43456
2892,NJ,8064
2892,NJ,8064
2893,CA,95043
2894,MN,56164
2895,MI,49862
2895,MI,49862
2896,VA,22172
2896,VA,22172
2899,CT,6239
2900,AZ,86040
2901,CA,95531
2902,VA,23219
2902,VA,23223
2903,TX,79834
2903,TX,79834
2904,ME,4652
2905,DC,20015
2905,DC,20008
2907,CO,80517
2908,CA,94804
2909,RI,2903
2910,AL,35740
2911,TX,78214
2911,TX,78210
2912,WI,54024
2913,ME,4619
2913,ME,4619
2914,NM,87505
2914,NM,87504
2915,CA,94109
2915,CA,94123
2916,NH,3745
2917,AZ,85730
2918,NY,11771
2918,NY,11771
2919,MA,1906
2920,WA,98250
2920,WA,98250
2921,PR,901
2921,PR,901
2922,MA,1970
2923,CA,91302
2924,CO,81036
2924,CO,81036
2926,NM,87036
2926,NM,87036
2927,NY,12170
2928,VI,820
2928,VI,820
2929,NE,69341
2929,NE,69341
2931,CA,93271
2932,AL,36040
2932,AL,36040
2933,VA,22835
2934,TN,38376
2936,AK,99835
2937,MI,49630
2938,MA,1105
2940,PA,18503
2940,PA,18503
2941,NY,10004
2942,TN,37129
2942,TN,37129
2943,AZ,86004
2943,AZ,86004
2944,KS,66869
2945,VA,22209
2945,VA,22101
2949,ND,58645
2949,ND,58645
2951,UT,84003
2951,UT,84003
2952,FL,32225
2953,AZ,85545
2955,NM,87505
2955,NM,87504
2956,AL,36083
2957,AL,36088
2958,AZ,85640
2958,AZ,85640
2959,MS,38801
2959,MS,38804
2960,AZ,86324
2960,AZ,86322
2961,MO,63123
2962,PA,18405
2964,PA,19406
2966,MS,39183
2967,VI,830
2970,MN,56649
2971,OK,73628
2972,AZ,86004
2972,AZ,86004
2973,GU,96910
2975,CT,6897
2977,CA,96095
2977,CA,96095
2978,WA,99362
2979,NM,88310
2979,NM,88330
2980,SD,57747
2981,MO,65738
2983,NY,13148
2985,NC,27948
2985,NC,27954
2986,AK,99573
2986,AK,99573
2987,AZ,86004
2987,AZ,86004
2988,WY,82190
2988,WY,82190
2991,CA,95389
2991,CA,95389
2992,AK,99738
2992,AK,99738
2993,CO,81321
2993,CO,81330
2994,UT,84767
2995,WA,98362
2996,CA,93106
2997,CA,94956
2998,AS,96799
2999,TX,77551
3070,GA,31411
3071,CA,94129
3072,MI,49707
3073,MA,2066
3074,CA,93940
3075,FL,33040
3076,VA,23606
3078,FL,32328
3079,SC,29412
3080,MD,21401
3081,VA,23062
3082,DE,19901
3083,CA,95076
3084,FL,32080
3085,MS,39562
3086,NH,3840
3087,NY,12580
3088,NJ,8087
3088,NJ,8087
3089,PR,704
3090,AK,99603
3091,RI,2872
3093,NC,28516
3095,SC,29442
3096,OH,44839
3097,WA,98273
3098,FL,34113
3099,GA,31327
3100,OR,97420
3101,CA,91932
3102,MA,2536
3104,HI,96753
3105,HI,96720
3107,CA,93933
3108,UT,84790
3109,AZ,85546
3110,AZ,85027
3111,AZ,84790
3112,CA,93308
3113,CA,92262
3113,CA,92260
3114,CO,81323
3115,ID,83352
3116,MT,59064
3117,MT,59457
3118,NM,87109
3119,OR,97504
3120,UT,84741
3123,CO,81506
3125,AK,99709
3127,KS,67669
3129,MT,59436
3130,OR,97603
3131,ID,83706
3132,OR,97603
3133,WA,98937
3134,VA,22182
3135,NM,87505
3135,NM,87504
3137,MD,21403
3138,VA,22645
3138,VA,22645
3144,MD,20629
3149,AZ,85743
3266,CO,80022
3915,TX,79091
3916,AL,36205
3917,UT,84022
3918,ND,58456
3919,WA,99323
3920,NV,89833
3921,MN,56535
3923,AK,99571
3924,MN,56276
3925,AL,35603
3926,AL,35603
3927,AL,35603
3928,AR,72834
3929,AZ,85344
3930,AZ,85607
3931,CA,93003
3932,CA,95988
3934,CA,95551
3936,CA,94555
3937,CA,94555
3938,CA,94501
3939,CA,94954
3940,CA,93003
3942,CO,80480
3943,CO,80480
3944,FL,33037
3945,FL,32781
3946,FL,34114
3947,FL,32752
3948,FL,34429
3949,FL,34429
3950,SD,57356
3952,TX,78516
3957,NY,12589
3958,OK,74962
3959,OR,97140
3960,NE,69201
3961,NE,68023
3962,NM,87801
3963,NM,88012
3964,FL,34142
3965,GA,31405
3967,HI,96753
3968,HI,96850
3995,OR,97352
3996,NV,89130
3997,NY,11751
3998,NY,11967
3999,NY,11963
4002,PR,765
4004,RI,2813
4005,SC,29440
4007,HI,96850
4008,HI,96850
4010,HI,96850
4011,HI,96850
4013,HI,96731
4014,LA,71241
4015,LA,70775
4016,LA,70538
4017,ME,4750
4018,MI,49883
4019,MN,55760
4021,MT,59925
4029,ND,58560
4035,TX,77575
4037,VA,23336
4039,VA,22192
4042,VA,22191
4043,VA,23310
4044,VI,820
4045,WA,99352
4046,MA,1950
4047,MA,1776
4048,MA,1776
4049,MO,63330
4050,MS,38901
4051,WI,53050
4052,WI,53050
4053,WY,82935
4054,IA,52653
4055,IL,62280
4056,IL,62013
4057,IN,47250
4058,KS,66075
4059,KY,42025
4060,MA,1776
4061,MA,1776
4063,MD,21613
4064,ME,4856
4065,ME,4841
4066,HI,96740
4071,MA,1970
4072,MD,20745
4072,MD,20744
4074,MO,65807
4075,NJ,7102
4092,WI,54806
4095,MI,48823
4098,ND,58013
4099,ND,58560
4100,ND,58301
4101,MT,59538
4109,AZ,85546
4110,VA,22079
4112,VA,22079
4112,VA,22079
4138,ND,58341
4148,GA,31038
5190,NY,10007
5445,VI,830
5445,VI,830
5448,MS,38804
5457,CT,6776
10012,MA,2452
10013,PA,19107
10015,CA,92677
10016,CO,80225
10017,GA,30344
10018,IL,60629
10019,MA,1201
10020,MO,64131
10021,NY,10014
10022,OH,45439
10023,PA,19154
10024,TX,76115
10025,WA,98115
10028,CA,94066
10029,MO,64064
10031,OR,97471
10037,OR,97471
10038,NM,88220
10039,NM,88220
10040,NM,87402
10041,NM,87401
10042,NM,87401
10044,NM,87020
10044,NM,87020
10046,NM,87107
10047,NM,87109
10050,NM,88005
10050,WY,82301
10051,NM,88005
10052,NM,88005
10055,NM,88005
10056,NM,88005
10058,NM,88005
10060,NM,88005
10061,NM,88201
10062,NM,88201
10064,NM,87801
10065,NM,87801
12718,HI,96731
12719,ND,58301
12720,GA,30901
12721,NM,87505
12721,NM,87504
12722,NC,28803
12723,PA,19106
12723,NJ,8330
12724,NY,12210
12726,OR,97103
12727,PA,19106
12729,MI,48243
12730,OH,45402
12731,PA,16301
12732,NM,87504
12732,NM,87504
12734,PA,15120
12735,PA,19464
12736,SC,29627
12737,TN,37132
12737,TN,37132
12738,WV,26003
12746,IL,61603
12747,CA,90053
12748,LA,71202
12780,FL,33957
12781,OK,73552
12783,MN,56737
12784,AK,99603
12785,AK,99559
12786,AK,99613
12787,AK,99603
12788,AR,72442
12796,FL,32626
12797,AK,99603
12798,ND,58496
12799,FL,34429
12800,IL,62959
12801,FL,33043
12802,AK,99603
12803,NE,69201
12804,NJ,7920
12805,CA,92363
12806,AK,99603
12807,MI,49883
12808,AK,99741
12809,FL,33957
12810,AK,99571
12811,AK,99669
12812,AZ,85365
12813,AK,99741
12814,LA,70630
12815,FL,32130
12816,ND,58746
12817,MT,59247
12818,MI,49883
12820,AK,99701
12821,MA,2633
12822,ME,4694
12823,ME,4694
12824,CO,80461
12825,AK,99559
12826,GA,31537
12827,MT,59739
12828,AK,99603
12829,NM,88201
12830,WA,98382
12831,AK,99752
12832,AK,99603
12833,MI,49883
12834,AK,99603
12835,FL,32355
12836,NC,27885
12837,MN,56578
12839,AK,99603
12840,MT,59457
12841,AK,99603
12902,CA,92262
13026,ID,83709
13069,CA,93514
13069,CA,93546
13071,CA,96002
13088,CA,93555
13101,MT,59725
13113,OR,97754
13116,CA,93555
13197,CO,81230
13237,CA,92262
13246,CA,92262
13301,CO,81230
13306,CA,93933
13323,CA,93555
13326,OR,97504
13333,CA,95521
13335,CA,93555
13336,AZ,86401
13337,NV,89130
13338,AZ,86401
13339,AZ,85756
13340,UT,84790
13341,CA,92262
13342,UT,84790
13344,AZ,85027
13346,CA,92262
13348,CA,92363
13350,CA,92311
13351,CO,81506
13352,NV,89445
13353,UT,84532
13354,CA,93555
13356,CA,92363
13358,CA,95482
13359,CA,92363
13362,CA,92243
13363,NM,87109
13364,UT,84119
13365,CA,95482
13366,CA,92363
13367,CA,93308
13368,CA,92262
13369,CA,92311
13372,CA,93555
13373,UT,84790
13375,UT,84790
13376,CA,92243
13377,CA,93555
13379,UT,84790
13382,UT,84790
13383,CO,81401
13385,AZ,86403
13386,NV,89445
13389,CA,92243
13391,CA,92311
13392,AZ,86403
13393,CA,93555
13394,UT,84790
13397,UT,84790
13398,CA,93555
13399,CO,81401
13400,AZ,86403
13401,AZ,85027
13402,AZ,85027
13407,AZ,85027
13408,CA,92311
13409,CA,92243
13410,CA,92243
13412,WA,99212
13413,CA,92363
13414,CA,95589
13415,CA,92363
13416,UT,84790
13418,CA,92262
13421,CA,92243
13422,CA,93555
13423,CA,93555
13425,CA,92262
13429,UT,84790
13430,AZ,86401
13431,AZ,86401
13432,UT,84790
13433,AZ,86401
13435,AZ,85365
13436,AZ,85756
13437,AZ,85365
13438,CA,92311
13439,CA,92311
13446,NM,87109
13447,CA,92363
13448,OR,97754
13449,CA,92262
13450,CA,92262
13453,CA,92311
13453,CA,92384
13455,UT,84790
13456,CA,92262
13457,CA,92243
13460,CA,92243
13461,CA,92311
13462,CA,93555
13463,CA,92363
13465,AZ,86403
13466,UT,84790
13468,CA,92311
13469,CA,92262
13470,CA,92262
13471,CA,95521
13472,CA,92311
13472,CA,92311
13473,NM,87571
13474,CA,93555
13475,CA,92311
13476,CA,92243
13477,CA,92363
13478,AZ,85027
13479,AZ,85027
13480,UT,84790
13481,OR,97504
13483,CA,95521
13484,NV,89445
13487,CA,92311
13489,OR,97754
13490,CA,92363
13492,CA,92363
13493,CA,93555
13494,AZ,86403
13495,CA,93555
13496,AZ,85027
13497,UT,84790
13498,AZ,86401
13499,AZ,85365
13500,CA,92363
13502,CA,92363
13503,AZ,86401
13504,AZ,86401
13505,AZ,86401
13508,NM,87107
13509,CA,92363
13510,AZ,85756
13512,AZ,85027
13521,AK,99501
13522,MD,21201
13524,MD,21403
13525,WY,83012
13525,WY,83012
13526,SC,29457
13526,SC,29455
13527,MA,2446
13528,CT,6437
13528,MA,2109
13529,NY,14109
13531,NJ,7501
13532,OH,43537
13532,OH,43615
13534,AR,71801
13534,AR,71801
13535,MI,48162
13536,MD,21230
13537,NY,12414
13537,NY,12414
13538,PA,19016
13539,VA,23651
13540,CA,96134
13540,CA,96134
13542,DC,20024
13542,DC,20024
13546,MP,96950
13549,MN,56642
13550,MN,56401
13551,MN,56641
13552,MN,55760
13553,MN,55760
13905,DC,20001
13905,DC,20024
13906,NY,10007
13906,NY,10005
13907,VA,22211
13907,VA,22101
13909,DC,20001
13909,DC,20020
13910,CA,93531
13910,CA,93531
13911,OH,45384
13911,OH,45384
13914,DC,20000
13915,MD,20812
13915,VA,22101
13916,VA,22101
13917,DC,20002
13917,DC,20024
13918,AZ,85615
13919,OH,44122
13919,OH,44141
13921,PA,19123
13921,PA,19106
13922,PA,17325
13923,NY,12538
13923,NY,12538
13924,NY,10004
13925,NY,10005
13926,OH,44702
13927,DE,19720
13928,PA,15563
13928,PA,15560
13929,DC,20004
13929,DC,20024
13930,ND,58801
13931,DC,20002
13931,DC,20002
13932,NY,10027
13934,VA,22443
13935,PA,19147
13935,PA,19106
13936,UT,84307
13936,UT,84302
13937,NY,10004
13939,NY,10031
13940,MD,21286
13941,MD,20744
13941,MD,20744
13942,MD,21622
13943,MO,64050
13945,NY,12538
13945,NY,12538
13946,PA,19520
13947,AZ,86505
13947,AZ,86505
13948,AK,99723
13948,AK,99723
13949,OH,44060
13950,LA,70130
13951,MO,63102
13952,GA,31780
13954,CA,94553
13955,HI,96740
13956,DC,20002
13956,DC,20024
13957,DC,20002
13957,DC,20024
13958,IN,47552
13959,IL,62701
13959,IL,62701
13960,AR,72202
13961,MA,2138
13962,MA,1852
13962,MA,1852
13963,NY,10002
13964,GA,30312
13965,DC,20005
13965,DC,20020
13967,ID,83338
13967,ID,83332
13971,MD,20745
13971,MD,20745
13974,CA,94553
13975,DC,20230
13975,DC,20242
13976,HI,96726
13976,HI,96726
13977,HI,96743
13978,NY,10550
13979,PA,19106
13979,PA,19106
13981,NY,10003
13982,NY,14202
13983,DC,20002
13983,DC,20024
13984,MD,20677
13985,RI,2840
13987,NY,12538
13987,NY,12538
13988,DC,20002
13988,DC,20024
13989,DC,20002
13989,DC,20024
13990,OH,45219
13991,DC,20024
13991,DC,20024
13992,VA,23690
13992,VA,23690
14433,IL,61603
14435,GA,30038
14436,LA,70804
14436,LA,70517
14437,WV,25801
14437,WV,25901
14438,MS,38733
14438,MS,38733
14439,MS,38804
14440,AL,35630
14440,AL,35632
14493,UT,84532
14494,UT,84532
14496,UT,84543
14497,UT,84544
14498,UT,84545
14499,UT,84546
14500,UT,84548
14501,UT,84548
14502,UT,84549
14507,UT,84532
14508,HI,96818
14509,IL,60628
14509,IL,60628
14510,NV,89166
14510,NV,89005
14511,MS,39530
14512,MA,1588
14513,FL,33469
14513,FL,33469
14514,TX,76708
14515,NM,87025
14515,NM,87025
14516,WA,98104
14518,CO,80225
14518,CO,80228
14519,NV,89005
14520,CA,92311
14521,WA,99116
14521,WA,99116
14522,DC,20002
14522,DC,20024
14523,TX,79562
14524,NY,10014
14524,NY,10005
14525,HI,96818
14525,HI,96818
14526,ME,4765
14528,UT,84532
14529,UT,84716
14530,WY,82520
14556,AZ,85365
14558,AZ,85365
14563,CO,81212
14565,MD,20662
14566,WI,53202
14567,WI,53202
14568,WI,53202
14569,MT,59729
14570,TX,79101
14575,NM,87571
14576,NM,88005
14577,NM,88201
14578,NM,87402
14579,NM,88005
14580,NM,97801
14581,NM,88005
14582,NM,88005
14583,NM,88005
14584,NM,88005
14585,NM,87109
14586,NM,88201
14587,NM,88001
14588,NM,87109
14589,NM,88001
14590,NM,88001
14591,NM,87801
14592,NM,88220
14593,NM,87801
14594,NM,87801
14595,NM,88001
14596,NM,88001
14597,NM,88001
14598,NM,88001
14599,NM,87801
14601,NM,87801
14602,NM,88201
14603,NM,88220
14604,NM,87109
14605,NM,88201
14606,NM,88220
14607,NM,87801
14608,NM,88220
14609,NM,88001
14610,NM,87109
14611,NM,87801
14612,NM,87801
14613,NM,87801
14614,NM,87801
14615,NM,87801
14616,NM,87508
14618,NM,88220
14619,NM,88220
14620,NM,88220
14621,NM,87402
14622,NM,87402
14623,NM,87402
14624,NM,88005
14625,NM,88005
14627,NM,88005
14629,NM,87109
14630,NM,87109
14631,NM,87801
14632,NM,87571
14633,NM,87571
14634,NM,87571
14636,NM,87571
14637,NM,87571
14639,WY,82401
14640,WY,82414
14647,WY,82301
14648,WY,82401
14650,WY,82401
14651,WY,82520
14653,WY,82520
14654,WY,82301
14655,WY,82301
14661,WY,82941
14666,WY,82301
14667,WY,83101
14668,WY,82401
14671,WY,82901
14672,WY,82941
14675,WY,82520
14676,WY,82520
14677,WY,82520
14678,WY,82520
14679,WY,82520
14680,WY,82520
14684,WY,82401
14685,WY,82414
14686,WY,82414
14687,WY,82414
14689,WY,82401
14690,WY,82401
14691,WY,82701
14693,WY,82834
14694,WY,82401
14695,WY,82401
14698,WY,82941
14699,WY,82301
14700,WY,82604
14701,WY,82520
14702,WY,82520
14703,WY,82301
14704,WY,82301
14705,WY,82301
14707,WY,82414
14709,WY,82604
14710,WY,82604
14711,WY,82414
14712,WY,82301
14713,WY,82301
14714,WY,82301
14715,WY,83101
14716,WY,83101
14717,WY,83101
14718,WY,83101
14719,WY,82941
14720,WY,82941
14721,WY,82491
14722,WY,82491
14723,WY,82401
14727,WY,82604
14728,WY,82834
14729,WY,82834
14732,WY,82520
14733,WY,82414
14735,WY,82901
14736,WY,82520
14737,WY,82520
14738,WY,82520
14739,WY,82520
14740,WY,82301
14741,WY,82301
14742,WY,82301
14744,WY,83101
14745,WY,82604
14746,WY,82520
14747,WY,82941
14748,UT,84075
14749,UT,84028
14750,UT,84741
14751,UT,84511
14752,UT,84726
14753,UT,84766
14754,UT,84525
14755,UT,84511
14756,UT,84525
14757,UT,84032
14758,UT,84718
14759,UT,84528
14760,UT,84712
14761,UT,84078
14762,UT,84737
14763,UT,84738
14764,UT,84078
14765,UT,84340
14766,UT,84116
14767,CA,96101
14768,CA,96101
14769,CA,96101
14770,CA,96101
14771,CA,96101
14772,CA,96101
14773,CA,96101
14774,CA,96101
14775,CA,95589
14776,CA,95521
14779,CA,93308
14780,CA,93308
14780,CA,93555
14782,CA,93308
14785,CA,93308
14786,CA,93308
14787,CA,93308
14789,CA,93308
14790,CA,93308
14791,CA,93308
14792,CA,93308
14792,CA,93546
14793,CA,93308
14795,CA,93308
14796,CA,93308
14797,CA,93308
14798,CA,93308
14799,CA,93308
14800,CA,93308
14801,CA,93308
14802,CA,93308
14803,CA,93308
14804,CA,93308
14805,CA,93308
14806,CA,93602
14807,CA,93602
14808,CA,93602
14809,CA,92311
14819,CA,93933
14826,CA,93933
14827,CA,93933
14828,CA,93933
14829,CA,93933
14830,CA,93933
14831,CA,93933
14832,CA,93933
14833,CA,93933
14841,CA,92363
14842,CA,92363
14845,CA,92363
14846,CA,92363
14854,CA,92363
14855,CA,92363
14856,CA,92363
14857,CA,92363
14858,CA,92363
14860,CA,92363
14861,CA,92363
14862,CA,92363
14863,CA,92363
14864,CA,92363
14865,CA,92363
14866,CA,92363
14867,CA,92363
14868,CA,92363
14869,CA,92363
14870,CA,92363
14871,CA,92363
14872,CA,92363
14873,CA,92363
14874,CA,92363
14875,CA,92363
14876,CA,96130
14877,CA,96130
14878,CA,96130
14879,CA,96130
14880,CA,96130
14881,CA,96130
14882,CA,96130
14883,CA,96130
14884,CA,96130
14885,CA,96130
14887,CA,96130
14888,CA,96130
14889,CA,96130
14893,CA,96130
14894,CA,96130
14895,CA,96130
14900,CA,93546
14901,CA,93546
14902,CA,93546
14903,CA,93555
14904,CA,93555
14906,OR,97477
14909,SC,29901
14916,ID,83702
14924,ID,83301
14972,ID,83301
14977,ID,83301
14989,ID,83624
14991,ID,83661
14992,ID,83672
14993,ID,83641
14995,ID,83650
14996,ID,83639
14997,ID,83650
14998,ID,83650
15000,ID,83641
15018,ID,83204
15021,ID,83204
15022,ID,83204
15041,ID,83401
15042,ID,83401
15043,ID,83401
15044,ID,83401
15045,ID,83401
15046,ID,83318
15048,ID,83318
15049,ID,83318
15050,ID,83301
15051,ID,83301
15052,ID,83301
15053,ID,83301
15054,ID,83301
15055,ID,83301
15056,ID,83301
15057,ID,83301
15058,ID,83301
15059,ID,83352
15060,ID,83352
15061,ID,83352
15063,ID,83352
15064,ID,83352
15065,ID,83352
15066,ID,83352
15071,CA,96002
15072,CA,96002
15073,CA,96002
15074,CA,96002
15075,CA,96002
15078,CA,92243
15079,CA,92243
15080,CA,92243
15081,CA,92243
15082,CA,92243
15083,CA,92243
15084,CA,95521
15085,CA,95521
15086,CA,95521
15087,CA,95521
15089,CA,95521
15090,NV,89820
15091,OR,97814
15092,OR,97471
15093,OR,97306
15094,OR,97754
15095,UT,84528
15096,UT,84639
15097,NY,13021
15097,NY,13021
15098,CA,95762
15099,UT,84049
15100,UT,84601
15101,UT,84631
15102,CA,96101
15103,CA,95632
15105,UT,84050
15106,UT,84108
15107,UT,84021
15108,UT,84501
15109,UT,84061
15110,UT,84737
15111,UT,84712
15112,UT,84665
15113,UT,84319
15114,UT,84013
15115,UT,84049
15117,NM,88005
15118,NM,88005
15120,NM,88005
15121,NM,88001
15122,NM,88001
15123,NM,88001
15124,NM,88001
15125,NM,88001
15126,NM,88001
15127,NM,88001
15129,NM,87571
15130,NM,87571
15131,NM,87571
15132,NM,87571
15133,NM,87571
15134,NM,87571
15135,NM,87109
15136,NM,87109
15137,NM,87109
15138,NM,87801
15139,NM,87109
15140,NM,87109
15141,NM,87109
15142,NM,87109
15143,NM,88001
15144,NM,87801
15145,NM,87402
15146,NM,87571
15147,UT,84044
15148,OR,97471
15149,UT,84733
15150,UT,84020
15151,UT,84060
15152,UT,84078
15155,OR,97814
15156,OR,97918
15159,OR,97754
15160,WA,99212
15162,WA,99212
15163,CA,93546
15164,CA,93546
15165,CA,93546
15166,CA,93546
15167,CA,93546
15168,CA,93602
15168,CA,93308
15170,CA,92311
15171,CA,92311
15172,CA,92311
15173,CA,92262
15174,CA,92301
15175,CA,92311
15177,CA,92311
15179,CA,92262
15180,CA,92262
15181,CA,92262
15182,CA,92262
15183,CA,92262
15184,CA,92262
15186,CA,93546
15187,CA,93546
15188,CA,93546
15189,CA,93546
15190,CA,93546
15191,CA,93546
15192,CA,93546
15193,CA,93546
15194,CA,93546
15196,CA,93546
15197,OR,97630
15198,UT,84721
16198,CA,92262
16199,UT,84741
16200,UT,84790
16201,UT,84790
16202,UT,84790
16203,CA,92363
16204,UT,84532
16206,UT,84078
16208,UT,84741
16210,UT,84741
16212,UT,84631
16214,UT,84535
16218,UT,84532
16219,UT,84734
16220,UT,84119
16221,UT,84741
16222,UT,84741
16225,UT,84734
16226,UT,84532
16227,UT,84501
16228,UT,84535
16230,UT,84741
16231,UT,84119
16232,UT,84501
16233,UT,84501
16234,UT,84741
16236,UT,84734
16237,UT,84741
16238,UT,84741
16239,UT,84734
16240,UT,84741
16241,UT,84631
16242,UT,84535
16243,UT,84532
16244,UT,84078
16245,UT,84535
16247,UT,84119
16248,UT,84119
16249,UT,84119
16250,UT,84119
16251,UT,84119
16252,UT,84119
16253,UT,84119
16254,UT,84119
16255,UT,84119
16256,UT,84119
16257,UT,84119
16258,UT,84119
16259,UT,84119
16260,UT,84119
16261,UT,84119
16262,UT,84119
16263,UT,84119
16264,UT,84734
16265,UT,84701
16266,UT,84631
16267,UT,84535
16268,UT,84501
16269,UT,84631
16270,UT,84501
16271,UT,84532
16272,UT,84535
16273,UT,84501
16275,UT,84741
16276,UT,84741
16277,UT,84501
16278,UT,84535
16279,UT,84532
16280,UT,84741
16281,UT,84741
16282,UT,84119
16283,UT,84631
16284,UT,84741
16285,UT,84741
16286,UT,84119
16287,UT,84741
16288,UT,84741
16289,UT,84741
16290,UT,84535
16291,UT,84501
16292,UT,84119
16293,UT,84741
16294,UT,84119
16295,UT,84119
16296,UT,84119
16297,UT,84501
16298,UT,84501
16299,UT,84535
16300,UT,84119
16301,UT,84790
16302,UT,84790
16303,UT,84790
16304,UT,84532
16305,UT,84535
16306,UT,84741
16307,UT,84631
16308,UT,84741
16309,UT,84741
16310,UT,84501
16311,UT,84631
16312,UT,84741
16314,UT,84532
16315,UT,84078
16316,UT,84790
16317,UT,84790
16318,UT,84790
16319,UT,84790
16320,UT,84790
16321,UT,84790
16322,UT,84790
16323,UT,84790
16324,UT,84790
16325,UT,84790
16326,UT,84790
16327,UT,84119
16328,UT,84119
16329,UT,84101
16330,UT,84532
16331,UT,84742
16332,UT,84721
16334,UT,84532
16335,UT,84532
16336,UT,84532
16337,UT,84532
16339,UT,84532
16341,UT,84532
16342,UT,84501
16343,UT,84790
16344,UT,84790
16345,UT,84790
16346,UT,84790
16347,UT,84790
16348,UT,84790
16349,UT,84790
16350,CA,95521
16351,CA,95521
16354,UT,84701
16355,UT,84701
16356,UT,84701
16357,UT,84701
16358,UT,84701
16359,UT,84701
16360,UT,84701
16361,UT,84734
16362,UT,84734
16363,UT,84734
16364,UT,84734
16365,UT,84734
16366,UT,84734
16367,UT,84734
16368,UT,84734
16369,UT,84734
16370,UT,84734
16371,UT,84734
16372,UT,84734
16373,UT,84734
16374,UT,84734
16375,UT,84535
16378,UT,84790
16379,UT,84790
16381,UT,84790
16383,UT,84790
16384,UT,84790
16385,UT,84790
16386,UT,84790
16387,UT,84790
16388,UT,84790
16389,UT,84790
16391,UT,84790
16394,UT,84790
16395,UT,84790
16397,UT,84790
16398,UT,84790
16399,UT,84790
16401,UT,84790
16402,UT,84790
16403,UT,84631
16404,UT,84631
16405,UT,84734
16406,UT,84734
16407,UT,84734
16408,UT,84734
16409,UT,84535
16410,UT,84535
16411,UT,84535
16412,UT,84535
16413,UT,84535
16414,UT,84535
16415,UT,84535
16416,UT,84535
16417,UT,84535
16418,UT,84535
16419,UT,84535
16420,UT,84535
16421,UT,84535
16422,UT,84535
16423,UT,84535
16424,UT,84535
16425,UT,84535
16426,UT,84535
16427,UT,84535
16428,UT,84535
16430,UT,84790
16431,UT,84631
16432,UT,84631
16433,UT,84741
16434,UT,84790
16435,UT,84741
16437,UT,84741
16438,UT,84741
16439,UT,84741
16440,UT,84741
16441,UT,84741
16442,UT,84535
16443,UT,84741
16444,UT,84741
16445,UT,84741
16446,UT,84741
16447,UT,84741
16448,UT,84741
16449,UT,84741
16450,UT,84741
16451,UT,84631
16452,UT,84631
16453,UT,84790
16454,UT,84790
16455,UT,84790
16456,UT,84790
16457,UT,84790
16458,UT,84790
16459,UT,84790
16460,UT,84790
16461,UT,84790
16462,UT,84501
16463,UT,84631
16464,UT,84501
16470,UT,84701
16471,UT,84734
16472,UT,84734
16473,UT,84734
16474,UT,84734
16475,UT,84734
16476,UT,84631
16477,UT,84790
16478,UT,84631
16479,UT,84631
16480,UT,84631
16481,UT,84631
16482,UT,84631
16483,UT,84631
16489,ID,83602
16490,ID,83226
16494,ID,83204
16508,CA,92243
16509,OR,97459
16510,OR,97459
16512,ID,83815
16513,ID,83815
16514,ID,83815
16515,ID,83815
16516,ID,83815
16519,ID,83815
16520,ID,83815
16522,AK,99079
16525,AZ,85339
16527,CA,96130
16530,CO,81625
16531,CO,81625
16533,CO,81323
16534,CO,81323
16535,CO,81144
16536,CO,81144
16537,CO,80459
16539,CO,81652
16540,CO,81230
16541,CO,81323
16543,CO,81506
16546,UT,84535
16548,CO,81652
16550,MT,59457
16551,MT,59457
16552,MT,59457
16553,CO,81652
16554,CO,81652
16556,CO,81625
16559,CO,81625
16560,CO,81625
16561,UT,84535
16563,CO,81144
16564,UT,84535
16566,UT,84535
16567,CO,81641
16568,CO,81506
