USC00026603,699Q,699
USC00026616,550S,550
USC00026653,543R,543
USC00026716,546S,546
USC00026796,548R,548
USC00026840,657R,657
USC00026865,733R,733
USC00027281,676S,676
USC00027370,712R,712
USC00027390,640S,640
USC00027435,539S,539
USC00027480,668R,668
USC00027488,530R,530
USC00027560,625R,625
USC00027593,650R,650
USC00027619,643R,643
USC00027625,629R,629
USC00027708,620R,620
USC00027716,549S,549
USC00027855,532S,532
USC00027880,635R,635
USC00028012,539C,539
USC00028018,533R,533
USC00028112,701R,701
USC00028162,499R,499
USC00028214,702R,702
USC00028329,457S,457
USC00028348,699R,699
USC00028396,722S,722
USC00028468,557R,557
USC00028499,713R,713
USC00028516,705R,705
USC00028619,636S,636
USC00028641,716R,716
USC00028792,569R,569
USC00028795,698R,698
USC00028796,693R,693
USC00028800,687R,687
USC00028815,702S,702
USC00028817,700R,700
USC00028865,637S,637
USC00028904,631R,631
USC00029114,613R,613
USC00029156,500Q,500
USC00029158,534S,534
USC00029271,558R,558
USC00029287,661S,661
USC00029309,666R,666
USC00029334,617S,617
USC00029359,507S,507
USC00029376,739R,739
USC00029410,479R,479
USC00029464,706Q,706
USC00029542,579S,579
USC00029634,731S,731
USC00029645,692S,692
USC00029652,723R,723
USC00029656,740R,740
USC00030064,594S,594
USC00030130,599S,599
USC00030220,620R,620
USC00030240,630S,630
USC00030458,578S,578
USC00030460,594R,594
USC00030536,617S,617
USC00030582,622R,622
USC00030586,568R,568
USC00030618,584Q,584
USC00030664,596Q,596
USC00030764,593R,593
USC00030798,614S,614
USC00030806,604S,604
USC00030832,601S,601
USC00030936,610R,610
USC00031102,610R,610
USC00031132,571S,571
USC00031140,623R,623
USC00031152,627S,627
USC00031191,631R,631
USC00031442,612R,612
USC00031455,596R,596
USC00031457,587Q,587
USC00031459,606R,606
USC00031596,605R,605
USC00031632,594S,594
USC00031730,624S,624
USC00031838,618S,618
USC00031900,550S,550
USC00031948,616S,616
USC00031962,638S,638
USC00031968,620R,620
USC00032148,633S,633
USC00032355,652S,652
USC00032356,581R,581
USC00032366,590R,590
USC00032444,582R,582
USC00032540,610S,610
USC00032794,582S,582
USC00032930,590S,590
USC00032962,585R,585
USC00032978,593S,593
USC00033132,593Q,593
USC00033242,626R,626
USC00033428,623S,623
USC00033466,620S,620
USC00033544,587S,587
USC00033734,592S,592
USC00033821,613S,613
USC00033862,625S,625
USC00033909,568Q,568
USC00034106,556S,556
USC00034134,611R,611
USC00034185,632R,632
USC00034528,605Q,605
USC00034548,628S,628
USC00034562,616R,616
USC00034572,566S,566
USC00034638,619S,619
USC00034666,576R,576
USC00034711,609Q,609
USC00034756,592R,592
USC00034938,600R,600
USC00034988,590S,590
USC00035018,587R,587
USC00035036,582R,582
USC00035046,591R,591
USC00035079,601R,601
USC00035112,633S,633
USC00035186,602S,602
USC00035200,603R,603
USC00035376,634R,634
USC00035508,592R,592
USC00035512,595R,595
USC00035563,597S,597
USC00035754,628R,628
USC00035820,582R,582
USC00035831,596Q,596
USC00035866,630S,630
USC00035908,612S,612
USC00036174,641Q,641
USC00036253,631S,631
USC00036376,623R,623
USC00036403,569Q,569
USC00036506,605S,605
USC00036562,616S,616
USC00036768,613R,613
USC00036920,618S,618
USC00036928,606S,606
USC00037488,595S,595
USC00037582,622S,622
USC00037712,614S,614
USC00038010,596Q,596
USC00038052,601S,601
USC00038084,582R,582
USC00040029,504R,504
USC00040136,632R,632
USC00040161,472R,472
USC00040192,671R,671
USC00040212,578S,578
USC00040232,615R,615
USC00040343,627S,627
USC00040379,610S,610
USC00040383,609S,609
USC00040436,705R,705
USC00040444,640Q,640
USC00040449,621R,621
USC00040521,652R,652
USC00040673,586S,586
USC00040693,581R,581
USC00040738,570R,570
USC00040741,477S,477
USC00040755,532Q,532
USC00040790,576R,576
USC00040924,730R,730
USC00040931,431S,431
USC00040943,378S,378
USC00040983,724S,724
USC00041018,504R,504
USC00041048,729R,729
USC00041072,430S,430
USC00041214,477R,477
USC00041244,638S,638
USC00041253,617S,617
USC00041277,495S,495
USC00041312,597R,597
USC00041316,503C,503
USC00041428,617S,617
USC00041476,469R,469
USC00041484,643R,643
USC00041497,482S,482
USC00041534,583Q,583
USC00041606,523R,523
USC00041614,487S,487
USC00041697,535S,535
USC00041700,469R,469
USC00041715,612R,612
USC00041738,692Q,692
USC00041754,516Q,516
USC00041758,635R,635
USC00041806,569R,569
USC00041838,614R,614
USC00041864,648S,648
USC00041912,569S,569
USC00041948,615R,615
USC00041967,617R,617
USC00042012,631S,631
USC00042081,564S,564
USC00042147,520S,520
USC00042214,632R,632
USC00042239,527R,527
USC00042294,612S,612
USC00042319,772R,772
USC00042331,534R,534
USC00042338,546R,546
USC00042402,566R,566
USC00042410,728Q,728
USC00042456,582R,582
USC00042467,440S,440
USC00042500,533S,533
USC00042506,503R,503
USC00042574,544S,544
USC00042598,735S,735
USC00042640,585R,585
USC00042671,441R,441
USC00042706,653R,653
USC00042709,650R,650
USC00042713,739S,739
USC00042728,599R,599
USC00042771,604S,604
USC00042805,654R,654
USC00042863,651R,651
USC00042934,610S,610
USC00042941,607R,607
USC00043083,636R,636
USC00043113,624R,624
USC00043157,482S,482
USC00043161,514R,514
USC00043191,542R,542
USC00043244,596R,596
USC00043256,642R,642
USC00043261,632R,632
USC00043384,580Q,580
USC00043392,642Q,642
USC00043417,607R,607
USC00043463,543S,543
USC00043489,753R,753
USC00043551,474S,474
USC00043573,557R,557
USC00043578,573C,573
USC00043647,528R,528
USC00043669,551R,551
USC00043710,639S,639
USC00043714,542R,542
USC00043747,628S,628
USC00043824,500S,500
USC00043855,702S,702
USC00043875,607S,607
USC00043882,599Q,599
USC00043896,649R,649
